time,open,close,high,low,volume
1534973400000,0.031344,0.031315,0.031344,0.031315,19025.49177612
1534974300000,0.033089999999999994,0.033089999999999994,0.033089999999999994,0.033089999999999994,11848.60087767
1534974360000,0.033089999999999994,0.033089999999999994,0.033089999999999994,0.033089999999999994,1904.0
1534974720000,0.036624,0.036624,0.036624,0.036624,1695.97275003
1534976820000,0.033955,0.033955,0.033955,0.033955,9866.2649411
1534985400000,0.03433,0.03433,0.03433,0.03433,984.40160327
1535026980000,0.033997,0.033997,0.033997,0.033997,2571.605
1535027760000,0.034,0.034,0.034,0.034,10961.70710319
1535028000000,0.034,0.034,0.034,0.034,17266.30972102
1535028060000,0.034,0.034,0.034,0.034,24022.24234889
1535028120000,0.034,0.034,0.034,0.034,41158.71534222
1535028180000,0.034,0.034,0.034,0.034,6591.02548468
1535028600000,0.034222,0.034222,0.034222,0.034222,2247.73037276
1535028720000,0.034222,0.034332,0.034332,0.034222,15193.83528902
1535028780000,0.034332,0.034332,0.034332,0.034332,10838.15028902
1535028960000,0.034332,0.034505,0.034505,0.034332,21618.19387196
1535029080000,0.034505,0.034658999999999995,0.034662,0.034505,8505.92475204
1535037180000,0.035242,0.035242,0.035242,0.035242,303.0
1535041320000,0.035246,0.035246,0.035246,0.035246,10576.19087909
1535041380000,0.035243000000000003,0.035243000000000003,0.035243000000000003,0.035243000000000003,3511.4818
1535041440000,0.035246,0.035246,0.035246,0.035246,10566.3567202
1535041500000,0.035246,0.035246,0.035246,0.035246,865.2869999999997
1535041560000,0.035246,0.035536,0.035536,0.035246,6551.9942948399985
1535041980000,0.035685,0.035685,0.035685,0.035685,3789.11142381
1535042460000,0.035688,0.035688,0.035688,0.035688,12988.79066667
1535044560000,0.0356,0.0356,0.0356,0.0356,1000.0
1535045580000,0.035688,0.035858999999999995,0.035858999999999995,0.035688,19302.39958263
1535049120000,0.035668,0.035668,0.035668,0.035668,498.0
1535050020000,0.0356,0.0356,0.0356,0.0356,6329.90673562
1535051040000,0.035603,0.035603,0.035603,0.035603,1876.24
1535052660000,0.035608999999999995,0.0356,0.035608999999999995,0.0356,5594.88587095
1535052720000,0.0356,0.0356,0.0356,0.0356,12268.39674777
1535058780000,0.0364,0.0364,0.0364,0.0364,9127.48081564
1535062020000,0.036401,0.036401,0.036401,0.036401,10218.26207799
1535062080000,0.036401,0.036401,0.036401,0.036401,12003.73792201
1535072400000,0.0356,0.0356,0.0356,0.0356,1073.782
1535072700000,0.0355,0.0355,0.0355,0.0355,971.05537577
1535076900000,0.0355,0.0355,0.0355,0.0355,28.94462423
1535095200000,0.035621,0.035993,0.035993,0.035621,3196.85037347
1535096460000,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.037000000000000005,10000.0
1535098440000,0.037049,0.03705,0.03705,0.037049,20000.0
1535104680000,0.03705,0.03705,0.03705,0.03705,3764.0
1535107560000,0.033643,0.0344,0.0344,0.033643,13335.998
1535111280000,0.037001,0.037000000000000005,0.037001,0.037000000000000005,21294.9312121
1535126580000,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.037000000000000005,12000.0
1535143140000,0.039419,0.04004,0.04004,0.039419,10000.0
1535143260000,0.04004,0.040042,0.040042,0.04004,20000.0
1535161380000,0.04,0.04,0.04,0.04,2000.0
1535182380000,0.03721,0.03721,0.03721,0.03721,806.821
1535196480000,0.03925,0.03925,0.03925,0.03925,753.9989999999997
1535208900000,0.03925,0.03925,0.03925,0.03925,246.001
1535209680000,0.04,0.04,0.04,0.04,3623.16261183
1535210640000,0.041744,0.041744,0.041744,0.041744,1000.0
1535216760000,0.038305,0.038305,0.038305,0.038305,996.0
1535222640000,0.038153,0.038153,0.038153,0.038153,565.86656171
1535239560000,0.0398,0.0398,0.0398,0.0398,995.96295793
1535239620000,0.0398,0.0398,0.0398,0.0398,0.03704207
1535252880000,0.038094,0.03809,0.038094,0.03809,1519.83340772
1535263020000,0.03809,0.03809,0.03809,0.03809,622.529
1535283960000,0.03999,0.03999,0.03999,0.03999,1342.20581326
1535301780000,0.042583,0.043,0.043,0.042583,5000.0
1535304480000,0.04,0.04,0.04,0.04,2497.5
1535311920000,0.042497,0.042497,0.042497,0.042497,1291.24971399
1535311980000,0.042497,0.042497,0.042497,0.042497,8708.75028601
